菜色名稱,菜色類別,每一份量,單位,每一份量說明,熱量(大卡),蛋白質(克),脂肪(克),碳水化合物(克),膳食纖維(克)
飯,主食,50,公克,50g,71,1.4,0.1,15.5,0.1
糯米飯,主食,50,公克,50g(熟),71,1.6,0.2,15.4,0.1
稀飯,主食,125,公克,125g,71,1.4,0.1,15.5,0.1
鍋燒麵,主食,60,公克,60g,70,2.7,0.2,14.3,0.6
全麥饅頭,主食,25,公克,25g(1/3個),73,2,1.3,13.5,0.9
白土司,主食,25,公克,25g,75,2.4,1.9,12.3,0.6
全麥土司,主食,25,公克,25g,72,2.6,1.6,12,0.8
奶酥麵包,主食,20,公克,20g(約1/3個),74,1.8,3,10.1,0.2
波蘿麵包,主食,20,公克,20g(約1/3個),77,1.8,3.4,9.9,0.2
銀絲捲,主食,25,公克,25g,70,2.2,0.8,13.6,0.6
肉粽,主食,30,公克,30g(約1/5個),70,2.5,2.6,9.2,0.2
泡麵,主食,15,公克,15g(約1/4個),71,1.4,3.7,8,0.3
馬來糕,點心,25,公克,25g,79,1.8,3.2,11,0.3
油條,主食,15,公克,15g(約1/3條),84,1.5,6.4,5.3,0.2
飯糰,主食,20,公克,20g(約1/9個),67,1.2,3.5,7.7,0.2
燒餅,主食,20,公克,20g(約1/4個),64,1.8,1.8,10.2,0.2
鮮乳,飲品,240,毫升,240c.c.,152,7.4,8.6,11.5,0
低脂鮮乳,飲品,240,毫升,240c.c.,95,7,2.9,10.3,0
奶酪,點心,100,公克,100g(約1個),92,3.5,3.3,12.4,0
優酪(草莓),點心,175,公克,175g,176,6.5,4.9,27.3,0
鮮奶酪,點心,120,公克,120g(約1個),115,3.3,4.8,15.4,0
冰淇淋(巧克力),點心,55,公克,55g(約一球),99,2.3,5,11.8,0
冰淇淋,點心,55,公克,55g,97,1.4,4.7,12.7,0
養樂多,飲品,240,毫升,240c.c.,163,2.6,0,39.1,0
三色蛋,副菜,50,公克,50g,86,7,6,1,0
炒蛋,副菜,100,公克,100g,257,14.3,21.5,1.7,0
蒸蛋,副菜,180,公克,180g,81,6.9,5.7,0.2,0
番茄炒蛋,副菜,444,公克,444g,736,30.3,63.4,13.2,0
豆奶,飲品,380,毫升,380c.c.,210,7,4.8,35,0.9
黑豆漿,飲品,600,毫升,600c.c.,234,6.8,3.5,44.3,0.5
豆漿,飲品,260,毫升,260c.c.,165,7,4.2,23,7.7
烏魚子,副菜,20,公克,20g(約1/9付),61,7.5,2.1,3.1,0
牛小排,主菜,60,公克,60g (EP),234,7,22.6,0,0
牛排,主菜,35,公克,35g(約2/5片),85,8.1,5.3,0,0
牛肉乾,點心,20,公克,20g,64,7.6,0.9,6.5,0
紅燒牛腩,主菜,30,公克,約30g(生重45g),149,6.7,13.3,0,0
花枝丸,副菜,55,公克,55g(約2個),89,6.7,4.3,6.2,0
紫菜,副菜,10,公克,10g(約3張),23,2.7,0,4.1,1.2
番茄汁,飲品,100,公克,100g,21,0.7,0.2,4.4,0.3
蓮霧(中),水果,180,公克,180g,61,0.9,0.3,15.3,1.8
葫蘆芭樂,水果,155,公克,155g,61,1.2,0.1,10.9,7.8
土芭樂(圓),水果,155,公克,155g,61,1.2,0.1,10.9,7.8
泰國芭樂,水果,160,公克,160g,61,1.2,15.6,15.6,4.8
山竹,水果,420,公克,420g,61,0.5,0.3,15.6,1.3
榴槤,水果,35,公克,35g,57,1,0.7,13.2,0
蘋果,水果,130,公克,130g,61,0.4,0.3,15.9,1.8
櫻桃,水果,85,公克,85g,60,0.8,0.3,15.3,1.3
龍眼,水果,130,公克,130g,60,1.1,0.8,13.9,0.9
龍眼乾,水果,22,公克,22g,60,1.1,0.3,15,0.5
百香果,水果,190,公克,190g,62,2.1,2.3,10.2,5
荔枝,水果,185,公克,185g,60,1.1,0.3,15.5,1.4
紅棗,水果,30,公克,30g,63,0.8,0.1,14.9,1.9
黑棗,水果,30,公克,30g,64,0.7,0,15.2,2.7
棗子,水果,140,公克,140g,59,1.6,0.3,14.4,2.3
新疆哈密瓜,水果,290,公克,290g,61,1.7,0.1,15.2,1.2
香瓜,水果,245,公克,245g(AP)約2/3個,62,2.1,0.5,14.2,0.7
美濃瓜,水果,165,公克,165g(約8小片),62,2.1,0.5,14.2,0.7
西瓜,水果,250,公克,250g(約10小片),61,1.5,0.3,14.9,0.8
紅西瓜,水果,365,公克,365g(AP),61,1.5,0.3,14.9,0.8
芒果乾,水果,18,公克,18g(約2片),59,0.1,0.1,16.3,0.6
芒果,水果,140,公克,140g(AP),60,1.2,0.4,14.7,1.2
愛文芒果,水果,225,公克,225g(AP) 約1.5片,60,0.3,0.5,15.3,1.2
柿餅,水果,33,公克,33g(約3/4個),62,0.5,0,16.8,3.9
楊桃,水果,180,公克,180g(AP)約3/4個,61,1.3,0.3,14.8,1.9
奇異果,水果,125,公克,125g(AP)約1.5個,61,1.4,0.4,14.8,2.8
木瓜,水果,190,公克,190g(AP)約1/2個,62,1,0.1,16.1,2
小玉西瓜,水果,320,公克,320g(AP),62,1.8,0.3,14.9,0.8
葡萄柚,水果,250,公克,250g(AP)約3/4個,61,1.3,0.6,14.2,2.3
釋迦,水果,105,公克,105g(AP)約1/2個,62,1.3,0,16,1.6
白柚,水果,165,公克,165g(約2片),61,1,0.3,15.1,1.9
哈密瓜,水果,225,公克,225g(AP),60,1.3,0.3,14.8,1.6
海梨,水果,190,公克,190g(AP)約1.3個,61,1.3,0.5,14.4,3.2
柑橘,水果,190,公克,190g(AP),62,0.8,0.2,15.8,2.6
柳丁,水果,170,公克,170g(AP),60,1.1,0.3,15,3.3
香吉士,水果,135,公克,135g(AP),62,0.9,0.9,12.4,3.2
西洋梨,水果,165,公克,165g(AP),61,0.3,0.3,15.9,3.1
粗梨(小),水果,140,公克,140g(AP),61,0.5,0.1,16,2.1
梨子,水果,200,公克,200g(AP)約3/4個,61,0.6,0.5,15.4,2.5
酪梨,水果,135,公克,135g(AP)約1/5個,60,1.2,0.7,11.3,2.6
水蜜桃,水果,150,公克,150g(AP),62,1.2,0.3,15.5,2.2
玫瑰桃,水果,120,公克,120g,61,1.4,0.1,15.4,2
加州李,水果,110,公克,110g(AP),61,0.8,0.4,15.3,1.7
小番茄,水果,175,公克,175g(約23個),62,2.5,2.3,9.5,2.5
加州葡萄,水果,120,公克,120g(AP)約10個,62,0.4,0.7,15.3,0.5
葡萄乾,水果,20,公克,20g(約33個),61,0.7,0.2,15.9,1.2
世紀梨,水果,200,公克,200g(AP),61,0.6,0.5,15.4,2.5
葡萄,水果,130,公克,130g(AP)約13個,61,0.8,0.2,15.5,0.7
草莓,水果,170,公克,170g(AP)約16個,60,1.7,0.4,14.2,2.8
鳳梨,水果,130,公克,130g(AP)兩個半圓片,61,1.2,0.2,15.1,1.8
香蕉,水果,95,公克,95g(AP)約1/2根,61,0.9,0.1,15.8,1
香蕉(小),水果,95,公克,95g(AP),61,0.9,0.1,15.8,1
芒果汁,飲品,140,公克,140g,60,0.1,0,16.8,0.2
楊桃汁,飲品,135,公克,135g,59,0.1,0.1,16.2,0.1
椰子汁,飲品,340,公克,340g,61,0.3,0.1,16.6,0
芭樂汁,飲品,145,公克,145g,59,0.2,0.1,15.8,0.1
果菜汁,飲品,140,公克,140g,61,0.2,0.1,15,0.3
葡萄汁,飲品,135,公克,135g,58,0.1,0,16,0
葡萄柚汁,飲品,160,公克,160g,60,0.3,0.3,15.5,0.7
果汁,飲品,120,公克,120g,60,0.1,0.1,14.8,0
甘蔗汁,飲品,145,公克,145g,62,0.2,0.3,14.9,0.3
鳳梨汁,飲品,140,公克,140g,60,0.3,0.2,15.7,0.2
蘋果汁,飲品,140,公克,140g,59,0.1,0.5,15.2,0
水蜜桃汁,飲品,135,公克,135g,60,0.2,0.1,16.3,0
芒果青,水果,30,公克,30g(約5片),60,0.2,0.1,16.3,0.9
黑棗梅,點心,30,公克,30g(AP)約3個,60,0.1,0,15.8,2.4
肉圓,主食,75,公克,75g (約3/4個),101,2.3,1.1,20.6,0.2
湯圓,副菜,30,公克,30g (約1/2個),103,1.4,4.4,14.5,0.3
鮮肉湯圓,副菜,35,公克,35g (約1.8個),99,2.3,4.5,12.6,0.1
肉粽,主食,42,公克,42g (約1/4個),98,3.4,3.7,12.9,0.3
芋泥包,點心,37,公克,37g (約1/2個),100,2.3,1.6,19.1,0.9
豆沙包,點心,42,公克,42g (約1/2個),101,3.1,0.1,22.1,0.7
芝麻包,點心,30,公克,30g (約3/8個),105,2,4.2,14.8,0.2
素菜包,主食,45,公克,45g (約1/2個),102,3.9,1.1,19.3,0.5
燒賣,主食,60,公克,60g (約2個),105,5.6,5.2,9.1,1.4
叉燒包,主食,40,公克,40g (約2/5個),105,3.5,1.7,19,0.5
小籠包,主食,42,公克,42g (約1個),101,4,6.5,6.7,0.5
包子,主食,40,公克,40g (約1/2個),103,2.8,4.1,14,0.4
水餃,主食,50,公克,50g (約4個),102,3.9,4.4,11.8,0.5
鍋貼,主食,45,公克,45g (約1.3個),103,3.5,4.4,12.5,0.7
豬肉韭菜水餃,主食,45,公克,45g (約4個),102,3.8,5.1,10.4,0.8
韭菜盒子,主食,50,公克,50g (約2/3個),106,3.8,5.7,10.2,0.7
餛飩,主菜,70,公克,70g (約2個),99,4.6,5.2,8.7,0.4
比薩,主食,50,公克,50g (約2/5個),104,4.7,3.5,13.9,1
餡餅,主食,45,公克,45g (約1/2個),100,4.3,4.6,10.6,0.5
肉羹麵,主食,160,公克,160g(1碗),236,17.3,8,23.8,0
乾麵,主食,321,公克,321g(1碗),430,13.7,13.2,65.2,0
紅燒牛肉麵,主食,817,公克,817g(1碗),969,35.6,51.2,88,0
榨菜肉絲麵,主食,195,公克,195g(1碗),318.2,12.8,1.8,62.8,0
肉燥麵,主食,175,公克,175g(1碗),351,15.3,5,61.3,0
肉燥飯,主食,280,公克,280g(1碗),413,17,5,75,0
蝦仁炒飯,主食,325,公克,325g(1碗),496.5,21.9,12.1,75,0
藥燉排骨湯套餐,主食,430,公克,430g(1碗湯/1碗白飯),498.6,26.4,15,64.5,0
豬肉燴飯,主食,365,公克,365g(1碗),382.1,19.7,4.5,65.8,0
咖哩燴飯,主食,340,公克,340g(1碗),484.2,23.8,11,72.5,0
蒸餃,主食,250,公克,250g,642,33,40,37.5,0
牛肉湯餃,主食,275,公克,275g,648,33.3,40,38.8,0
酸辣湯餃,主食,317,公克,317g,664.6,34.4,40.6,40.3,0
牛肉湯麵,主食,200,公克,200g,291.2,8.8,0,64,0
芋香排骨麵,主食,265,公克,265g,488.3,21.9,7.1,84.3,0
酸辣麵,主食,187,公克,187g,294.6,9.5,0.6,62.8,0
紅燒牛肉湯,湯品,70,公克,70g,159.4,9.4,13,1.3,0
玉米濃湯,湯品,39,公克,39g,52.6,5.5,2.8,1.5,0
酸辣湯,湯品,392,公克,392g,109,3.1,3.7,16.4,0
桃木燻雞飯糰,主食,106,公克,106g,207.8,5.3,4.24,37.1,0
爪哇咖哩飯,主食,492,公克,492g,743,18.2,19.7,123,0
奮起湖雞腿排,主菜,193,公克,193g,308,12.7,3.7,56,0
沙茶羊肉炒麵,主食,384,公克,384g,496,21.5,20,57.6,0
黑胡椒烤雞腿排握便當,主食,207,公克,207g,323,13.4,2.4,61.9,0
月見蕎麥涼麵,主食,250,公克,250g,515.3,12.5,14.3,84.3,0
豬排飯,主食,343,公克,343g,676,24,17.2,106.3,0
義式烤雞番茄義大利麵,主食,404,公克,404g,682.8,24.2,20.2,101,0
餛飩麵,主食,551,公克,551g,597.3,18.7,13.2,100.8,0
漢堡,主食,100,公克,100g,255,13,9,30,0
吉事漢堡,主食,114,公克,114g,304,16,13,31,0
大麥克,主食,212,公克,212g,535,27,29,42,0
1955美式培根牛肉堡,主食,,,,543,26,32,38,0
雙層牛肉吉事堡,主食,,,,456,27,25,31,0
四盎司牛肉堡,主食,,,,537,31,30,35,0
雙層四盎司牛肉堡,主食,,,,800,51,51,35,0
麥克雙牛堡,主食,,,,407,24,21,31,0
麥香魚堡,主食,132,公克,132g,321,14,13,37,0
一口咬麥麥雞,主食,,,,87,15,2,2,0
陽光鱈魚堡,主食,,,,256,12,6,38,0
青蔬烤雞堡,主食,,,,252,18,8,29,0
麥香雞堡,主食,171,公克,171g,374,15,17,40,0
勁辣雞腿堡,主食,182,公克,182g,535,24,30,42,0
板烤雞腿堡,主食,,,,366,23,12,42,0
麥克雞塊(6塊),主食,132,公克,132g,309,17,20,16,0
勁辣香雞翅,主食,,,,240,12,17,9,0
原味麥脆雞(翅),主食,79,公克,79g,233,16,15,9,0
原味麥脆雞(腿),主食,74,公克,74g,228,17,14,7,0
原味麥脆雞(排),主食,139,公克,139g,346,22,25,10,0
辣味麥脆雞(翅),主食,79,公克,79g,257,15,17,11,0
辣味麥脆雞(腿),主食,74,公克,74g,230,16,15,9,0
辣味麥脆雞(排),主食,139,公克,139g,331,22,23,11,0
芋香排骨湯,湯品,145,公克,145g,216.3,13.9,7.1,24.3,0
鮮蚵湯,湯品,95,公克,95g,82.5,10.5,4.5,0,0
皮蛋豆腐,副菜,9,公克,8.75g,54.8,5.3,3.8,5.3,0
蝦仁卷(兩個),主菜,49,公克,49g,101.5,8.2,6.7,2.2,0
黃耆枸杞雞湯,湯品,95,公克,95g,110,14,6,0,0
蔘鬚枸杞豬心湯,湯品,55,公克,55g,110,14,6,0,0
銀杏蓮子排骨湯,湯品,85,公克,85g,146,14,10,0,0
天麻人蔘雞湯,湯品,95,公克,95g,110,14,6,0,0
薑絲鱸魚湯,湯品,150,公克,150g,146,14,10,0,0
黃耆黨蔘燉雞湯,湯品,95,公克,95g,110,14,6,0,0
菠菜豬肝湯,湯品,110,公克,110g,118.4,14.4,6,1.8,0
黨蔘竹笙雞湯,湯品,95,公克,95g,110,14,6,0,0
藥燉排骨湯,湯品,85,公克,85g,146,14,10,0,0
四物雞湯,湯品,95,公克,95g,110,14,6,0,0
牛肉燴飯,主食,553,公克,553g,872,28.5,37.6,102.7,0
羊肉燴飯,主食,350,公克,350g,354.6,16.2,3,65.8,0
雞肉燴飯,主食,365,公克,365g,409.6,23.2,6,65.8,0
南洋咖哩飯,主食,370,公克,370g,427.9,16.1,3.5,83,0
羅勒松子飯,主食,472,公克,471.5g,383.9,11.6,1.5,81,0
黃金南瓜麵,主食,435,公克,435g,352,10.5,0,77.5,0
羅勒松子麵,主食,392,公克,391.5g,241.1,7.4,1.5,49.5,0
藥膳何首烏麵,主食,290,公克,290g,311.2,7.6,0,70.3,0
素香麵,主食,312,公克,311.5g,221.9,6.6,1.5,45.5,0
翠玉雲吞麵,主食,215,公克,215g,299.9,16.1,7.5,42,0
紅油炒手,主菜,100,公克,100g,247.9,18.1,17.5,4.5,0
艾草水餃,主食,150,公克,150g,216,6.5,0,47.5,0
廣東粥,主食,,,,420,40,20,20,0
海產粥,主食,,,,526.2,42,31,19.8,0
皮蛋瘦肉粥,主食,,,,427.4,39.5,21.4,19.2,0
滑蛋牛肉粥,主食,,,,770.5,46.2,56.5,19.3,0
香菇瘦肉粥,主食,427,公克,427g,291,5.8,5.7,52.8,0
滷肉飯,主食,297,公克,297g,503,9.7,7.5,96.8,0
控肉飯,主食,597,公克,597g,959,43.7,43,99.3,0
紅燒牛腩燴飯,主食,340,公克,340g,589.3,20.2,24.5,72,0
鮪排,主菜,100,公克,100g,143,13.4,0.9,20.4,0
花枝羹,主食,100,公克,100g,12.5,11.4,0.2,9.4,0
鮮肉雲吞,主菜,100,公克,100g,226,11.1,10.1,23,2.8
八寶粥,點心,100,公克,100g,75,1.5,0.7,15.9,0.9
什錦炒飯,主食,100,公克,100g,188,5,5.6,29.7,2
筒仔米糕,主食,155,公克,155g,285,5.5,7.1,48.8,1.1
炒板條,主食,100,公克,100g,148,4.2,4.2,23.7,1.2
擔仔麵,主食,378,公克,378g,282,8.9,6.6,47.4,2.5
里肌豬排漢堡,主食,185,公克,185g,410,16.7,17,47.7,0
蔥爆豬柳漢堡,主食,190,公克,190g,413,15,18.3,47.2,0
香雞排漢堡,主食,180,公克,180g,503,15.4,23.7,55.9,0
鮪魚漢堡,主食,168,公克,168g,414,10.6,23.2,52,0
黃金蝦餅漢堡,主食,175,公克,175g,510,11.5,27.9,52.5,0
鮮嫩豬排漢堡,主食,188,公克,188g,413,17,17,47.9,0
香酥魚排堡,主食,205,公克,205g,443,14.6,16.5,58.2,0
卡啦雞腿堡,主食,220,公克,220g,686,21.8,40,55.6,0
火腿蛋吐司,主食,175,公克,175g,373,15.4,20.4,31.5,0
香雞排吐司,主食,145,公克,145g,415,12.5,22.2,40.5,0
培根吐司,主食,127,公克,127g,345,9.2,21.8,28.3,0
燻雞吐司,主食,133,公克,132.6g,328.2,12.6,17.6,30,0
夾肉吐司,主食,145,公克,145g,371.8,9.5,21.2,35.2,0
蔥爆豬柳吐司,主食,155,公克,155g,325,12.1,16.8,31.9,0
鮮嫩豬排吐司,主食,153,公克,153g,325,14.1,15.5,32.6,0
鮪魚吐司,主食,133,公克,133g,327,7.7,21.7,36.8,0
肉鬆蛋土司,主食,159,公克,159g,426,17.2,24.2,34.7,0
薯泥土司,主食,139,公克,139g,365,6.8,22.5,33.7,0
蔬菜吐司,主食,129,公克,129g,314,5.5,18.6,31.2,0
藍莓乳酪吐司,主食,70,公克,70g,190,5.3,6,29,0
原味乳酪吐司,主食,70,公克,70g,270,6,14.6,25.9,0
巧克力吐司,主食,60,公克,60g,206,5.2,7.3,30.3,0
花生吐司,主食,60,公克,60g,207,6.5,7.4,28.8,0
奶酥吐司,主食,60,公克,60g,218,5.1,9.7,27.8,0
奶香法國吐司,主食,146,公克,146g,398,17.6,17.5,42.3,0
總匯三明治,主食,254,公克,254g,661,21.7,36.6,60.6,0
培根蛋餅,主食,160,公克,160g,357,15.2,16.8,36.3,0
起司蛋餅,主食,140,公克,140g,344,15.7,15.6,35.2,0
原味蛋餅,主食,117,公克,117g,263,10.8,9,34.3,0
日式蛋餅,主食,139,公克,139g,336,11.3,12.4,38.1,0
玉米蛋餅,主食,147,公克,147g,292,11.5,9.7,39.3,0
火腿蛋餅,主食,141,公克,141g,297,14.6,9.8,36.9,0
蔬菜蛋餅,主食,153,公克,153g,277,11.3,9.3,37,0
鮪魚蛋餅,主食,167,公克,167g,345,13.7,17.2,44.8,0
豬柳蛋餅,主食,188,公克,188g,338,18,11.8,39.8,0
焗烤海鮮厚片,主食,120,公克,120g,316,8.2,18.1,41.3,0
焗烤培根厚片,主食,137,公克,137g,392,12.9,12.9,39.3,0
焗烤夏威夷厚片,主食,137,公克,137g,305,15.1,7.1,43.7,0
鮪魚香烤厚片,主食,137,公克,137g,342,11.9,12.8,43.5,0
巧克力厚片,主食,85,公克,85g,298,5.9,11.8,41.8,0
花生厚片,主食,85,公克,85g,299,8.9,12.1,38.8,0
奶酥厚片,主食,81,公克,81g,295,6,14.2,35.5,0
香蒜麵包,主食,55,公克,55g,168,3.3,7.5,21.2,0
藍莓乳酪貝果,主食,115,公克,115g,266,8,3,50.9,0
原味乳酪貝果,主食,115,公克,115g,346,8.7,11.6,47.8,0
巧克力貝果,主食,115,公克,115g,338,8,7.8,58.1,0
奶酥貝果,主食,120,公克,120g,398,8.4,15.6,54.9,0
花生貝果,主食,115,公克,115g,340,11,8.1,55.1,0
核桃貝果,主食,122,公克,122g,286,8.2,5.8,50.2,0
火腿貝果,主食,165,公克,165g,328,11.6,8.4,50.7,0
培根貝果,主食,170,公克,170g,383,12.1,15.3,48.7,0
燻雞貝果,主食,142,公克,142g,297,8.1,7.7,48.2,0
培根丹麥土司,主食,231,公克,231g,546,18,28.9,52.4,0
火腿丹麥土司,主食,226,公克,226g,491,17.5,22,54.4,0
鮪魚丹麥土司,主食,252,公克,252g,539,16.6,29.4,62.2,0
燻雞丹麥土司,主食,240,公克,240g,525,21.4,24.7,53.3,0
起司蛋丹麥土司,主食,214,公克,214g,498,16.2,24.5,52.2,0
薯泥丹麥土司,主食,188,公克,188g,437,8.6,19.4,55.8,0
燻雞可頌,主食,139,公克,139g,297,12.4,12,34.3,0
鮪魚可頌,主食,151,公克,151g,311,7.7,16.8,43.2,0
薯泥可頌,主食,157,公克,157g,345,6.8,17.1,40.1,0
里肌豬排可頌,主食,156,公克,156g,291,13.6,9.9,36.5,0
豬柳可頌,主食,157,公克,157g,299,11.9,11.3,37,0
現烤可頌,主食,61,公克,61g,156,4.4,1.8,29.9,0
蛋沙拉佛卡夏,主食,136,公克,136g,338,5.9,17,39.9,0
蔬菜佛卡夏,主食,136,公克,136g,338,5.9,17,39.9,0
薯泥佛卡夏,主食,169,公克,169g,406,7.4,22.2,42.8,0
火腿佛卡夏,主食,142,公克,142g,360,9.2,18.3,38.7,0
培根佛卡夏,主食,147,公克,147g,415.2,9.6,25.2,36.7,0
招牌肉佛卡夏,主食,168,公克,168g,436,0.8,24.5,42.6,0
里肌豬排佛卡夏,主食,175,公克,175g,401,14.2,20.2,39.8,0
法式蘋果核桃燒餅,主食,140,公克,140g,358,4.8,24.5,24.5,0
法式蔬菜燒餅,主食,136,公克,136g,324,4.6,19.8,19.8,0
法式薯泥燒餅,主食,169,公克,169g,424,5.8,29.7,29.7,0
法式培根燒餅,主食,142,公克,142g,389,8.2,27.5,27.5,0
花生起酥吐司,主食,79,公克,79g,225,6.5,6.7,6.7,0
巧克力起酥吐司,主食,79,公克,79g,224,5,6.6,6.6,0
奶酥起酥吐司,主食,79,公克,79g,236,5.1,9,9,0
火腿起酥吐司,主食,101,公克,101g,263,8.5,10.3,10.3,0
培根起酥吐司,主食,106,公克,106g,317,8.9,17.2,17.2,0
肉鬆起酥吐司,主食,97,公克,97g,323,10.4,13.7,13.7,0
鮪魚起酥吐司,主食,127,公克,127g,306,7.6,17.1,17.1,0
蔥抓餅,主食,53,公克,53g,161.4,3.5,7.5,20,0
黃金蝦餅,主菜,50,公克,50g,204,3.6,17.1,8.5,0
薯條,副菜,165,公克,165g,282,4,13.7,36.1,0
薯餅,副菜,63,公克,63g,81,0.6,5,8.8,0
熱狗,副菜,71,公克,71g,153,8.7,12.2,0.2,0
薯泥沙拉,副菜,132,公克,132g,241,4.1,18.1,15,0
豬腳麵線,主食,351,公克,351g,376,22.5,16.9,32.7,0
八寶冬粉,主食,274,公克,274g,280,14.3,10.6,31.7,0
鼎邊銼,主食,338,公克,338g,312,14.2,9.9,42,0
豆簽羹,主食,418,公克,418g,423,36.9,22.8,34.2,0
鰻魚羹,主食,320,公克,320g,255,15.4,13.2,18.8,0
蝦仁羹,主食,266,公克,266g,225,27.6,5.3,15.6,0
蚵仔煎,主食,272,公克,272g,455,14.2,21.5,51.6,0
肉圓,主食,185,公克,185g,324,6.2,11.9,53.2,0
天婦羅,副菜,98,公克,98g,194,9.7,8.5,20.1,0
碳烤吐司,主食,202,公克,202g,468,20.3,21.9,47.7,0
營養三明治,主食,181,公克,181g,468,13.5,21.7,54.7,0
甜酒釀湯圓,點心,280,公克,280g,471,7.2,15,77.9,0
巧克力牛軋糖,點心,16,公克,16g,79,2.4,3.9,8.6,0
牛奶牛軋糖,點心,14,公克,14.33g,70.7,2.1,3.5,7.7,0
鳳梨酥,點心,36,公克,36g,173,1.4,9.1,21.5,0
綠豆椪,點心,78,公克,78g,197,4.8,7.9,27.1,0
咖哩滷肉椪,點心,78,公克,78g,238,8.4,8.9,31.5,0
八角糕,點心,21,公克,20.5g,94.5,1.7,3.9,13.2,0
花生糕,點心,5,公克,4.75g,22.5,0.6,1.1,2.7,0
鹹雪糕,點心,13,公克,12.5g,33.5,0.4,0.1,7.9,0
米香,點心,38,公克,38g,179,6.2,7.2,22.4,0
白芝麻珍珠粩,點心,16,公克,16g,83,1.7,4.9,7.9,0
黑芝麻珍珠粩,點心,19,公克,19g,90,2,4.4,10.8,0
花生珍珠粩,點心,22,公克,22g,111,3.3,5.9,11.1,0
白米珍珠粩,點心,16,公克,16g,63,0.4,1,13.1,0
米粉湯,主食,560,公克,560g,490,1.4,11.8,95.6,0
油豆腐細粉,主食,829,公克,829g,716,27.7,35.2,73.6,0
蓮子肉粽,主食,185,公克,185g,405,11.7,19.6,44.7,0
肉粽,主食,186,公克,186g,331,10.4,9.8,49.7,0
粿粽,主食,84,公克,84g,239,4.2,8,37.1,0
